,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment
0,1420379123558584321,1419930960204865536,2021-07-28 19:12:27 India Standard Time,2021-07-28,19:12:27,530,1328677217883348993,ashleigh__mab,Ashleigh Mab,,"@Afrihost Lighting. I use my phone's torch feature, as a source of lighting. And it's definitely been straining my eyes🤓 #WFH",en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/Ashleigh__Mab/status/1420379123558584321,False,,0,,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Neutral
1,1420379109604175874,1420379109604175874,2021-07-28 19:12:23 India Standard Time,2021-07-28,19:12:23,530,464982591,makariosconsult,Tim & Rip,,Employees prefer it and the pandemic has proven that remote and hybrid models work. Great podcast from @HarvardBiz on key considerations for implementing these models long term #leadership #podcast #WFH   https://t.co/Qb4vS3GIBS,en,"[{'screen_name': 'harvardbiz', 'name': 'harvard business review', 'id': '14800270'}]",['https://hbr.org/podcast/2021/06/hybrid-work-is-here-to-stay-now-what'],[],0,0,0,"['leadership', 'podcast', 'wfh']",[],https://twitter.com/makariosconsult/status/1420379109604175874,False,,0,,,,,,,,[],,,,,Positive
2,1420378993149157386,1420378993149157386,2021-07-28 19:11:55 India Standard Time,2021-07-28,19:11:55,530,911769984602427392,aclever418,Aymee Clever,,My coworkers are hard at work. #workfromhome #wfh #homeoffice #meimei #corgi #corgisofinstagram #corgilove #corgipuppy #illinoiscorgi #lovecorgi #corgimeimei #corgiwithatail #corgis  https://t.co/m7Eb1L64Ip,en,[],['https://www.instagram.com/p/CR33cTFpCAm/?utm_medium=twitter'],[],0,0,0,"['workfromhome', 'wfh', 'homeoffice', 'meimei', 'corgi', 'corgisofinstagram', 'corgilove', 'corgipuppy', 'illinoiscorgi', 'lovecorgi', 'corgimeimei', 'corgiwithatail', 'corgis']",[],https://twitter.com/AClever418/status/1420378993149157386,False,,0,,,,,,,,[],,,,,Negative
3,1420378614999232519,1420378614999232519,2021-07-28 19:10:25 India Standard Time,2021-07-28,19:10:25,530,1443940224,kaminski_steve,Steve Kaminski,,"You can work for Silicon Valley in Detroit, Omaha, or Mobile. It's game on in the war for #talent #WFH #remotework #productivity #MSTeams #DynamicsRemoteAssist Microsoft  https://t.co/S7AaT7soxa",en,[],['https://lnkd.in/eTqkpKD'],[],0,0,0,"['talent', 'wfh', 'remotework', 'productivity', 'msteams', 'dynamicsremoteassist']",[],https://twitter.com/kaminski_steve/status/1420378614999232519,False,,0,,,,,,,,[],,,,,Negative
4,1420378134717755399,1420378134717755399,2021-07-28 19:08:31 India Standard Time,2021-07-28,19:08:31,530,17056575,flath2o,Amy Devin,,Lap Naps &gt; Morning Commute #WFH #Vizsla @onXmaps  https://t.co/27yxvKOGEv,en,"[{'screen_name': 'onxmaps', 'name': 'onxmaps', 'id': '121670601'}]",[],['https://pbs.twimg.com/media/E7YyYnpUUAgNm6R.jpg'],0,0,1,"['wfh', 'vizsla']",[],https://twitter.com/flath2o/status/1420378134717755399,False,,1,https://pbs.twimg.com/media/E7YyYnpUUAgNm6R.jpg,,,,,,,[],,,,,Neutral
5,1420377946922131462,1420377946922131462,2021-07-28 19:07:46 India Standard Time,2021-07-28,19:07:46,530,1398256597965619204,dasl_me,DASL,,DASL is proud to be supporting #DiversityandInclusion  and advertising our job openings with  @WomenOfFintech  - the roles are open to all and have #flexappeal offering #parttime and #wfh opportunities...,en,"[{'screen_name': 'womenoffintech', 'name': 'women of fintech', 'id': '933352241062404096'}]",[],[],0,0,1,"['diversityandinclusion', 'flexappeal', 'parttime', 'wfh']",[],https://twitter.com/DASL_Me/status/1420377946922131462,False,https://twitter.com/WomenOfFintech/status/1420376080947552257,0,,,,,,,,[],,,,,Positive
8,1420377267960754176,1420377267960754176,2021-07-28 19:05:04 India Standard Time,2021-07-28,19:05:04,530,15233190,cipd,CIPD,,"High levels of #presenteeism have persisted even when working remotely: in our report with @SimplyhealthUK cited here, 77% of those employers #WFH reported presenteeism in their org. Will post-pandemic culture finally stop us working while we are sick?  https://t.co/GaNMbEnqnS",en,"[{'screen_name': 'simplyhealthuk', 'name': 'simplyhealth', 'id': '69243360'}]",['https://www.newstatesman.com/science-tech/coronavirus/2021/07/will-post-pandemic-culture-finally-stop-us-working-while-were-sick'],[],0,2,1,"['presenteeism', 'wfh']",[],https://twitter.com/CIPD/status/1420377267960754176,False,,0,,,,,,,,[],,,,,Negative
9,1420377247798673413,1420377247798673413,2021-07-28 19:04:59 India Standard Time,2021-07-28,19:04:59,530,17074244,onsip,OnSIP,,"VoIP has grown quite a bit over the last few decades, and the pandemic only accelerated adoption. Our blog dives into ways a SIP softphone can improve your #WFH life:    https://t.co/kKnuzVYSng",en,[],['https://hubs.li/H0Qptpy0'],[],0,0,0,['wfh'],[],https://twitter.com/onsip/status/1420377247798673413,False,,0,,,,,,,,[],,,,,Negative
10,1420377006030602246,1420377006030602246,2021-07-28 19:04:02 India Standard Time,2021-07-28,19:04:02,530,3568890569,mrnochill1022,Henny Hour,,"#WFH is great I’ve washed towels, made breakfast, washed dishes and I still got 30mins until I clock in..",en,[],[],[],0,0,1,['wfh'],[],https://twitter.com/MrNoChill1022/status/1420377006030602246,False,,0,,,,,,,,[],,,,,Positive
11,1420376587623665666,1420376587623665666,2021-07-28 19:02:22 India Standard Time,2021-07-28,19:02:22,530,23340858,fnanetwork,Glen Murray,,Easiest way to make $1000 online!  Start Right Now!  https://t.co/9Tm32S2dZA  #AffiliateMarketing #makemoneyonline #money #Entrepreneurship #workingfromhome #success #WFH  https://t.co/jEnHfjQnXm,en,[],['https://fnanetwork.clickfunnels.com/clickwealth'],['https://pbs.twimg.com/media/E7Yw-QwWUAci5zA.jpg'],0,0,0,"['affiliatemarketing', 'makemoneyonline', 'money', 'entrepreneurship', 'workingfromhome', 'success', 'wfh']",[],https://twitter.com/FNAnetwork/status/1420376587623665666,False,,1,https://pbs.twimg.com/media/E7Yw-QwWUAci5zA.jpg,,,,,,,[],,,,,Positive
